"","pub_id","author_name","author_id"
"1522",497,"Paul, A.","1550"
"1523",501,"Pokharel, A.","944"
"1524",501,"Jayasekera, K S","565"
"1525",501,"Sabolsky, E M","1024"
"1526",501,"Musho, T.","852"
"1527",509,"Monroe, A.","817"
"1528",509,"Alexander, J.","22"
"1529",509,"Anderson, E.","35"
"1530",509,"Anderson, P J","38"
"1531",509,"Andrews, William M. Jr","596"
"1532",509,"Driscoll, J.","306"
"1533",509,"Frus, R.","384"
"1534",509,"Hevesi, J.","494"
"1535",509,"Jones, D.","587"
"1536",509,"Thomas, K.","1150"
"1537",509,"Tillery, A C","1158"
"1538",509,"Dahm, K.","259"
"1539",509,"Torregrosa, A.","1334"
"1540",528,"Williams, S R","1246"
"1541",528,"Steed, J E","1106"
"1542",528,"Morrone, J.","830"
"1543",528,"Goeking, Sara A","1552"
"1544",528,"Lavin, Matt","1553"
"1545",528,"Dodson, Erich Kyle","1554"
"1546",528,"Simons, Rachel E","1555"
"1547",532,"Abbas, S.","1"
"1548",532,"White, J T","1237"
"1549",532,"Almahawis, M K","29"
"1550",532,"Bailey, R T","70"
"1551",562,"Workman, J B","1258"
"1552",562,"Colgan, J.","226"
"1553",562,"Gilmer, A K","417"
"1554",562,"Berry, M E","108"
"1555",562,"Johnstone, S.","585"
"1556",562,"Warrell, K F","1219"
